file_name,end_sample,sentence,duration_timit,stim_number,duration_ucsf,timit_onset_sample,timit_offset_sample,modified_timit_samples,N_cells
fadg0_si1279,29082,Bricks are an alternative.,1817.625,0,1.6800624999999982,2200,26360,50880,623
mcal0_si508,28264,Mollusks are a case in point.,1766.5,1,1.673874999999999,1480,27300,50781,685
fljd0_si2146,38708,"But it was a hopeful sign, he told himself.",2419.25,2,2.2748124999999995,2310,36595,60396,117
mrew1_si2130,21300,Does this bother you?,1331.25,3,1.1636875000000018,2680,18431,42619,685
fmah0_si1289,29696,A flame would use up air.,1856.0,4,1.720937499999998,2160,26680,51534,685
mwre0_si2317,37786,"Well, I guess I ought to dust out that desk anyhow.",2361.625,5,2.2265625,2160,35000,59625,117
fsah0_si1874,41472,He might say or do something foolish.,2592.0,6,2.199437499999995,6280,39640,59190,117
mroa0_si677,35328,Comparable trends can be noted elsewhere.,2208.0,7,2.0942500000000024,1819,31203,57508,117
mklr0_si2319,27546,Maybe they're delivering the desk now!,1721.625,8,1.5917499999999976,2077,25360,49467,623
megj0_si1967,21607,Twelve o'clock level.,1350.4375,9,1.2153749999999943,2160,19480,43445,685
mdss0_si621,40960,Not a corner has been visibly cut in this one.,2560.0,10,2.4341250000000016,2013,39422,62946,117
mpfu0_si1888,24576,There's no war on now.,1536.0,11,1.4134375000000006,1960,22360,46615,685
fsjk1_si2285,31847,The girl nodded understandingly.,1990.4375,12,1.8553750000000024,2160,29720,53686,623
mctw0_si2003,36864,"In a way, he couldn't blame her.",2304.0,13,1.792625000000001,8181,33080,52682,117
mmlm0_si1527,19559,They'll toe the line.,1222.4375,14,1.0873750000000015,2160,17086,41398,623
fhlm0_si1560,23962,Leave me your address.,1497.625,15,1.3475624999999951,2400,21180,45560,685
mmdm2_si1555,35124,A sleepy voice answered.,2195.25,16,2.067687500000005,2040,24020,57083,117
mjth0_si1926,35328,Why single me out on this permit deal?,2208.0,17,2.0554374999999965,2440,33400,56886,117
fetb0_si1148,41064,Change involves the displacement of form.,2566.5,18,2.425437500000001,2255,38680,62807,117
mklr0_si1689,33895,Then he heard the outer door closing.,2118.4375,19,1.98275000000001,2170,29960,55724,117
mtat1_si1627,32871,"You lucky kids, he said.",2054.4375,20,1.804375000000008,4000,30700,52870,685
mbml0_si539,41064,But that heritage is shrinking even faster.,2566.5,21,2.436374999999998,2080,37960,62981,117
msfv0_si1262,36660,Ten others made no reply.,2291.25,22,2.163687500000009,2040,30040,58619,117
fntb0_si573,41472,Teaching guides are included with each record.,2592.0,23,2.456187499999998,2172,38040,63298,117
mpsw0_si1067,37581,Their gait is impossible to convey in words.,2348.8125,24,2.208750000000009,2240,34214,59340,117
flas0_si1026,30311,"Careful, don't disturb her.",1894.4375,25,1.7569375000000065,2199,26109,52111,685
fjkl0_si2192,25191,But now she looked ugly.,1574.4375,26,1.441874999999996,2120,21320,47069,685
mtpp0_si878,40551,This means either cars or trucks.,2534.4375,27,2.3993750000000063,2160,33450,62390,117
fcft0_si1808,40448,"They went downstairs, loaded a tray lavishly.",2528.0,28,2.400437499999996,2040,38308,62406,117
mmdm0_si1941,29799,We'll talk over at your office.,1862.4375,29,1.7348750000000024,2040,27906,51758,685
msdb0_si2267,31642,Joking stopped and everyone gathered around.,1977.625,30,1.840062500000002,2200,30546,53441,623
mccs0_si2099,41165,But she suffered in her off-duty hours.,2572.8125,31,2.440249999999992,2120,37270,63043,117
mdtb0_si1200,31130,"Let him become honest, and they discard him.",1945.625,32,1.833312499999991,1796,29535,53332,685
mmlm0_si897,36660,"They serve cracked wheat, oats or cornmeal.",2291.25,33,2.153687500000004,2200,33800,58459,117
mrem0_si961,38912,The coalition was to prove inadvisable.,2432.0,34,2.2969374999999985,2160,36803,60750,117
fdaw0_si1406,40653,"Receiving no answer, they set the fire.",2540.8125,35,2.4157500000000027,2000,38120,62652,117
fgmd0_si2107,32768,It sounded silly; why go on?,2048.0,36,1.9604374999999976,1400,31134,55366,685
mlll0_si1993,39732,Should she wake him?,2483.25,37,1.7234374999999886,12156,24982,51574,117
mdvc0_si2174,35124,"Aw, shut up, he said.",2195.25,38,2.0576875000000143,2200,32680,56923,117
mcrc0_si1092,27648,Yet we no longer feel uneasy.,1728.0,39,1.5948125000000175,2130,25800,49517,685
mrab0_si594,32871,The trial balloons are afloat.,2054.4375,40,1.846874999999983,3320,30203,53549,685
mjrk0_si1662,26727,Did anyone see my cab?,1670.4375,41,1.5361249999999984,2148,24840,48577,685
feme0_si2135,37888,You feel him every mile further away.,2368.0,42,2.216562500000009,2422,34840,59465,117
mrjm3_si1809,31130,"Okay, take the tray.",1945.625,43,1.6848124999999925,4172,28200,50956,685
mtxs0_si1690,27546,"Hey, come back, he shouted.",1721.625,44,1.5893125000000057,2116,25560,49429,623
mcth0_si1839,33690,You people don't have adjustable vision.,2105.625,45,1.9593749999999943,2339,31829,55349,685
fmjf0_si1254,37786,To honor him is to honor ourselves.,2361.625,46,2.1590625000000045,3240,35880,58545,117
mdsj0_si2092,33895,Go change your shoes before you turn around.,2118.4375,47,1.981687500000021,2187,31565,55707,117
mrlj1_si2332,24986,I saw your horse outside.,1561.625,48,1.3590625000000216,3240,23740,45745,685
fltm0_si2330,31642,I'm going to search this house.,1977.625,49,1.7400625000000218,3800,29326,51841,685
mmab1_si2124,38912,The air smelled warmish and foul.,2432.0,50,2.2135624999999948,3494,36595,59416,117
fdml0_si2075,25601,Now forget all this other.,1600.0625,51,1.463374999999985,2185,23268,47413,685
mtrc0_si993,31744,He met nobody he knew on this walk.,1984.0,52,1.8464375000000075,2200,29880,53543,623
mcmb0_si1898,26829,You've got no business up here.,1676.8125,53,1.5279375000000073,2381,23400,48447,685
mjln0_si2079,33895,They had slapped their thighs.,2118.4375,54,1.985749999999996,2122,28073,55771,117
mjrh0_si1125,40756,But in every period it has been humanism.,2547.25,55,2.419687500000009,2040,39240,62715,117
mtjg0_si2157,21914,Who would take over?,1369.625,56,1.2620624999999848,1720,15164,44192,685
mtlb0_si1764,29492,Soak up local color.,1843.25,57,1.7056875000000105,2200,26356,51291,685
fbcg1_si1612,23962,"They've never met, you know.",1497.625,58,1.358187500000014,2230,21905,45731,685
mfxs0_si1674,40039,He put it in his own pocket for safekeeping.,2502.4375,59,2.3698750000000075,2120,38406,61918,117
mkag0_si2239,38810,The leagues are full of guys like that.,2425.625,60,2.281812500000001,2300,36010,60509,117
mrlj0_si2050,30516,A third shot doused the light.,1907.25,61,1.7629374999999925,2308,25320,52206,685
fvfb0_si2292,28058,Is it anything like cooked-over oatmeal?,1753.625,62,1.6020624999999882,2424,25360,49632,685
mjmp0_si1535,37581,He trembled lest his piece should fail.,2348.8125,63,2.190875000000005,2526,35480,59054,117
mpsw0_si2327,33383,I'm sorry but I shall have to search this house.,2086.4375,64,1.9645624999999995,1949,30970,55432,623
fpls0_si1590,38400,With his club foot he might well be grateful.,2400.0,65,2.2693125000000123,2090,35320,60309,117
mdlc0_si765,36148,Turn shaker upside down.,2259.25,66,2.1198124999999948,2230,30454,57916,117
milb0_si2163,39629,Are you positive you'll be all right by yourself?,2476.8125,67,2.349250000000012,2040,35400,61588,117
mreb0_si745,28672,Broil or toast as usual.,1792.0,68,1.6538124999999866,2210,26680,50460,685
mrbc0_si1665,39117,A foolish thought came into his head.,2444.8125,69,2.308937500000013,2173,36980,60943,117
mprb0_si1205,37274,But we aren't going to let you give him any.,2329.625,70,2.1970625000000155,2120,34757,59153,117
mcem0_si1398,38605,Do they make class-biased decisions?,2412.8125,71,2.265874999999994,2350,36140,60253,117
msms0_si2063,39424,To his surprise his plan worked perfectly.,2464.0,72,2.39518750000002,1100,37320,62323,117
mrld0_si2224,35636,"Fine, day after tomorrow, she added.",2227.25,73,2.0796875000000057,2360,33640,57275,117
msmc0_si1907,40653,Bury those uniforms so they won't be found.,2540.8125,74,2.408249999999981,2120,38680,62531,117
fjrb0_si672,23245,None should ask less.,1452.8125,75,1.3202500000000157,2120,19297,45124,685
mlbc0_si1869,33588,He rode low on the mare's neck.,2099.25,76,1.9866875000000164,1800,31122,55787,685
mafm0_si2199,17716,Will you tell me why?,1107.25,77,0.9671874999999944,2240,15210,39474,623
mtju0_si2269,24269,Could it do otherwise?,1516.8125,78,1.373625000000004,2290,22180,45978,623
frll0_si1514,38912,"Maybe they'll stop it now, once for all.",2432.0,79,2.290437499999996,2264,35200,60646,117
mdbb1_si1636,29184,This coat looks like a rag heap.,1824.0,80,1.7013125000000002,1962,27400,51221,685
mbjk0_si545,32359,But how little love we give him!,2022.4375,81,1.8889374999999973,2135,29384,54222,623
mdwk0_si910,39117,"To put it bluntly, you are getting out-moded.",2444.8125,82,2.305374999999969,2230,37300,60885,117
mchh0_si1634,40141,She sounded as though they already existed.,2508.8125,83,2.373687500000017,2161,38680,61979,117
mcal0_si1768,25601,The clerk's eyes flickered.,1600.0625,84,1.457437500000026,2280,23720,47319,685
fjre0_si1116,38708,Each is still glorified as a national hero.,2419.25,85,2.2782499999999573,2255,35320,60451,117
mcdc0_si1922,38298,Or maybe you just don't feel like a cigar?,2393.625,86,2.188562499999989,3280,35258,59016,117
mwsb0_si2256,35943,Suppose he ran up the white flag altogether?,2246.4375,87,2.101375000000018,2320,33800,57622,117
mdab0_si1669,32973,Be excited and don't identify yourself.,2060.8125,88,1.923249999999996,2200,30412,54771,685
mfxs0_si2225,25908,"Run-down, iron-poor.",1619.25,89,1.4785625000000095,2250,23686,47657,623
mfxv0_si1635,33076,We've got plenty of time to think about that.,2067.25,90,1.832187499999975,3760,31980,53314,685
mtpr0_si506,29184,They polished the windshield.,1824.0,91,1.6275625000000105,3142,27240,50041,685
fklc1_si2308,29082,"May I get some more cookies, Nora?",1817.625,92,1.6875625000000127,2080,27098,51001,685
mmgk0_si1952,20071,We're going someplace.,1254.4375,93,1.144375000000025,1760,17930,42310,685
flbw0_si2253,29696,"More, he could take at leisure.",1856.0,94,1.7280625000000214,2046,25640,51649,623
fcft0_si548,30311,Never happier in my life.,1894.4375,95,1.7743125000000075,1921,28600,52389,685
mmxs0_si876,34100,Does your policy have a lay-up clause?,2131.25,96,1.9880625000000125,2290,31740,55809,117
fmbg0_si1790,37275,"Oh yes, he'd talked about doing so.",2329.6875,97,2.1970625000000155,2120,35560,59153,117
mmjb1_si778,41165,Nor is she a wet boat.,2572.8125,98,1.7913124999999468,12503,33796,52660,117
fdms0_si1218,41165,"Poets, moreover, dwell on human passions.",2572.8125,99,2.4502499999999827,1960,39101,63203,117
fcaj0_si1479,21914,Have you got enough blankets?,1369.625,100,1.2409375000000296,2058,19737,43855,685
fdfb0_si1948,25600,He moistened his lips uneasily.,1600.0,101,1.5166249999999764,1333,24040,48265,685
fisb0_si2209,28263,"A bullet, she answered.",1766.4375,102,1.632062499999961,2149,26485,50112,685
mbbr0_si2315,30823,"Junior, what on earth's the matter with you?",1926.4375,103,1.78449999999998,2270,28880,52551,685
mdlc2_si2244,24064,Nobody likes snakes.,1504.0,104,1.3761250000000018,2045,21950,46018,685
fcaj0_si1804,28775,It had gone like clockwork.,1798.4375,105,1.6561249999999743,2276,25214,50497,685
mdls0_si998,24474,Yet they thrived on it.,1529.625,106,1.3495625000000473,2880,19467,45593,685
mjdh0_si1984,21300,And what eyes they were.,1331.25,107,1.1736875000000282,2520,18360,42779,685
mjmm0_si625,37684,A tiny handful never did make the concert.,2355.25,108,2.2226875000000064,2120,36660,59563,685
fdxw0_si2141,21914,It was nobody's fault.,1369.625,113,1.2420624999999743,2040,19802,43872,685
